invoice_ref,merchant_id,billed_amount,currency,issue_date,due_date,status
INV8FF659D3,MERCH006,9860.54,INR,2026-08-20 06:53:21.388381,2026-09-04 06:53:21.388381,OPEN
INV211BC53A,MERCH003,3906.27,INR,2026-08-12 10:19:21.388444,2026-08-27 10:19:21.388444,PAID
INVF00DF8D5,MERCH002,842.28,INR,2026-07-26 01:36:21.388469,2026-08-10 01:36:21.388469,PAID
INVC4B15993,MERCH020,484.63,INR,2026-07-27 02:05:21.388486,2026-08-11 02:05:21.388486,OPEN
INV8085A158,MERCH002,744.74,INR,2026-08-22 05:46:21.388499,2026-09-06 05:46:21.388499,DISPUTED
INVF4B1248B,MERCH009,5167.12,INR,2026-08-09 16:48:21.388511,2026-08-24 16:48:21.388511,PAID
INV9BCD87E5,MERCH012,6753.45,INR,2026-08-01 16:00:21.388544,2026-08-16 16:00:21.388544,PAID
INV0524E2C4,MERCH018,10638.86,INR,2026-08-01 06:31:21.388565,2026-08-16 06:31:21.388565,DISPUTED
INVCF5F1673,MERCH009,8033.77,INR,2026-08-07 05:58:21.388587,2026-08-22 05:58:21.388587,OPEN
INV99FF59BD,MERCH008,1735.78,INR,2026-07-29 11:50:21.388601,2026-08-13 11:50:21.388601,DISPUTED
INV6781EC57,MERCH009,8625.25,INR,2026-08-05 15:21:21.388613,2026-08-20 15:21:21.388613,DISPUTED
INV2B191292,MERCH013,1003.3,INR,2026-07-26 17:12:21.388624,2026-08-10 17:12:21.388624,PAID
INV6E9E38D4,MERCH005,11224.45,INR,2026-08-15 14:04:21.388636,2026-08-30 14:04:21.388636,DISPUTED
INV52800429,MERCH012,9334.71,INR,2026-08-17 09:09:21.388646,2026-09-01 09:09:21.388646,OPEN
INV37BA882F,MERCH002,910.56,INR,2026-08-18 16:14:21.388658,2026-09-02 16:14:21.388658,OPEN
INVCC0CDDF2,MERCH013,826.21,INR,2026-08-11 18:12:21.388668,2026-08-26 18:12:21.388668,PAID
INV49C1AD98,MERCH018,9176.55,INR,2026-08-01 09:58:21.388724,2026-08-16 09:58:21.388724,PAID
INV041922D0,MERCH011,3606.05,INR,2026-08-21 04:14:21.388752,2026-09-05 04:14:21.388752,DISPUTED
INV342E5648,MERCH001,12640.59,INR,2026-08-15 20:53:21.388770,2026-08-30 20:53:21.388770,OPEN
INVCB004291,MERCH010,850.35,INR,2026-07-28 17:09:21.388821,2026-08-12 17:09:21.388821,PAID
INV92E786BB,MERCH005,10479.79,INR,2026-07-24 20:43:21.388844,2026-08-08 20:43:21.388844,PAID
INVD2B661F5,MERCH016,8934.25,INR,2026-08-24 09:42:21.388861,2026-09-08 09:42:21.388861,PAID
INV435DA241,MERCH008,2266.85,INR,2026-07-25 11:36:21.388878,2026-08-09 11:36:21.388878,OPEN
INV71172D4E,MERCH018,10034.96,INR,2026-07-31 09:33:21.388895,2026-08-15 09:33:21.388895,PAID
INV9DAFBD70,MERCH009,5282.36,INR,2026-07-25 06:42:21.388911,2026-08-09 06:42:21.388911,PAID
INV9865A5C7,MERCH010,899.02,INR,2026-08-11 16:00:21.388929,2026-08-26 16:00:21.388929,DISPUTED
