transaction_id,merchant_id,amount,currency,status,payment_method,timestamp,invoice_ref
TXN23BA6AA2A2,MERCH005,10443.67,INR,SUCCESS,WALLET,2026-08-23 11:36:21.391276,INV2AD8374D
TXNBC7CFD2A25,MERCH001,6428.95,INR,SUCCESS,NETBANKING,2026-08-19 13:42:21.389319,INVFB0C7EEC
TXNF10A17C95A,MERCH020,612.85,INR,SUCCESS,NETBANKING,2026-07-28 11:37:21.392442,INVC12681BD
TXN12FD8D0CD9,MERCH020,593.92,INR,SUCCESS,CARD,2026-08-17 13:36:21.390373,INVC4F1711B
TXNF1219E2B18,MERCH008,1569.59,INR,SUCCESS,UPI,2026-08-07 00:30:21.392113,INV73F3A061
TXN51C5582F22,MERCH012,8058.25,INR,SUCCESS,UPI,2026-08-07 17:19:21.391097,INV432C8924
TXNCF690297E8,MERCH007,4038.85,INR,REFUNDED,NETBANKING,2026-08-01 10:05:21.394883,
TXNFCEA00DB87,MERCH006,11154.12,INR,SUCCESS,CARD,2026-08-10 09:37:21.394105,
TXN6711957459,MERCH003,2942.08,INR,SUCCESS,NETBANKING,2026-08-09 23:01:21.391619,INVD46A7A9E
TXN1D1F160DAC,MERCH007,4038.85,INR,SUCCESS,WALLET,2026-08-01 10:04:21.394883,INV627456BF
TXN0DF4720206,MERCH012,8491.18,INR,SUCCESS,NETBANKING,2026-08-13 08:53:21.392599,INV322750CE
TXNEF29C0D660,MERCH018,9653.1,INR,SUCCESS,EMI,2026-07-28 02:08:21.390942,INVD27BC839
TXN4BCD2206A5,MERCH015,9927.43,INR,SUCCESS,UPI,2026-08-10 20:35:21.389035,INVA9E42202
TXN8D9E50A0B0,MERCH019,12652.57,INR,SUCCESS,UPI,2026-08-18 13:37:21.388961,INV41E49D21
TXN492B52398E,MERCH018,10032.16,INR,SUCCESS,CARD,2026-08-24 14:12:21.394188,
TXNB87D45249D,MERCH011,1105.84,INR,REFUNDED,UPI,2026-07-31 09:27:21.394903,
TXN0F685457B5,MERCH019,5724.09,INR,SUCCESS,NETBANKING,2026-08-07 22:58:21.393353,INVFED58F5F
TXNED6908B172,MERCH008,1711.63,INR,SUCCESS,UPI,2026-08-22 00:46:21.389329,INVAF66365A
TXN847473A300,MERCH016,9981.4,INR,SUCCESS,EMI,2026-08-13 22:50:21.392431,INVC353A61E
TXN6BDD6816F6,MERCH005,11260.14,INR,SUCCESS,CARD,2026-08-19 08:03:21.391577,INVFF744CC3
TXNABD4E4164C,MERCH010,745.32,INR,SUCCESS,WALLET,2026-08-19 03:27:21.393749,INVADED1EC9
TXN80398D9E24,MERCH010,983.59,INR,SUCCESS,WALLET,2026-08-23 08:24:21.391992,INVEFFC2069
TXND033F22F5C,MERCH016,7768.66,INR,SUCCESS,NETBANKING,2026-08-22 13:05:21.390205,INV4EF6CDD0
TXN493F5CE75E,MERCH018,9017.74,INR,SUCCESS,CARD,2026-08-06 06:10:21.389752,INV47B25E00
TXN1875CE270B,MERCH006,9102.04,INR,SUCCESS,WALLET,2026-08-07 00:01:21.390402,INVD35A0E4C
TXN84B766B695,MERCH005,10363.69,INR,SUCCESS,NETBANKING,2026-07-26 07:12:21.389894,INVBD1384DD
TXN03841700DB,MERCH018,7175.46,INR,SUCCESS,UPI,2026-08-03 05:33:21.393071,INV909AEC2B
TXN29EBDF53F5,MERCH006,10185.77,INR,SUCCESS,NETBANKING,2026-08-10 03:54:21.390961,INV651BE071
